Wavelength (nm),Transmission (%),1P Energy (eV),2PE Energy (eV),1P Wavenumber (cm-1),2PE Wavenumber (cm-1),Ref_Pwr_0mW_target,Ref_Pwr_10mW_target,Ref_Pwr_20mW_target,Ref_Pwr_30mW_target,Ref_Pwr_40mW_target,Ref_Pwr_50mW_target,Ref_Pwr_60mW_target,Ref_Pwr_70mW_target,Ref_Pwr_80mW_target,Ref_Pwr_90mW_target,Ref_Pwr_100mW_target
725,30.63,1.71,3.42,13793,27586,0.0,32.7,65.3,98.0,130.6,163.3,195.9,228.6,261.2,293.9,326.5
730,32.88,1.698,3.397,13699,27397,0.0,30.4,60.8,91.2,121.6,152.0,182.5,212.9,243.3,273.7,304.1
750,40.17,1.653,3.306,13333,26667,0.0,24.9,49.8,74.7,99.6,124.5,149.4,174.3,199.2,224.1,249.0
775,44.86,1.6,3.2,12903,25806,0.0,22.3,44.6,66.9,89.2,111.5,133.8,156.1,178.3,200.6,222.9
800,46.0,1.55,3.1,12500,25000,0.0,21.7,43.5,65.2,87.0,108.7,130.4,152.2,173.9,195.7,217.4
825,48.9,1.503,3.006,12121,24242,0.0,20.4,40.9,61.3,81.8,102.2,122.7,143.1,163.6,184.0,204.5
850,52.46,1.459,2.917,11765,23529,0.0,19.1,38.1,57.2,76.2,95.3,114.4,133.4,152.5,171.5,190.6
875,52.4,1.417,2.834,11429,22857,0.0,19.1,38.2,57.3,76.3,95.4,114.5,133.6,152.7,171.8,190.9
900,51.24,1.378,2.755,11111,22222,0.0,19.5,39.0,58.5,78.1,97.6,117.1,136.6,156.1,175.6,195.2
925,50.68,1.34,2.681,10811,21622,0.0,19.7,39.5,59.2,78.9,98.6,118.4,138.1,157.8,177.6,197.3
950,48.34,1.305,2.61,10526,21053,0.0,20.7,41.4,62.1,82.7,103.4,124.1,144.8,165.5,186.2,206.9
975,45.12,1.272,2.543,10256,20513,0.0,22.2,44.3,66.5,88.6,110.8,133.0,155.1,177.3,199.5,221.6
1000,39.56,1.24,2.48,10000,20000,0.0,25.3,50.6,75.8,101.1,126.4,151.7,177.0,202.2,227.5,252.8
